Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SauceDemo_Standard,Chrome 123.0.0.0,,,02-04-2024 14:34:14,02-04-2024 14:34:27,13.146s,PASSED
,,,,,,,
Test Cases/Login,Chrome 123.0.0.0,,,02-04-2024 14:34:14,02-04-2024 14:34:20,5.672s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 14:34:15,02-04-2024 14:34:17,1.923s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,02-04-2024 14:34:17,02-04-2024 14:34:17,0.431s,PASSED
"setText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,02-04-2024 14:34:17,02-04-2024 14:34:19,2.120s,PASSED
"setEncryptedText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,02-04-2024 14:34:19,02-04-2024 14:34:20,0.444s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,02-04-2024 14:34:20,02-04-2024 14:34:20,0.423s,PASSED
,,,,,,,
Test Cases/Add to Cart,Chrome 123.0.0.0,,,02-04-2024 14:34:20,02-04-2024 14:34:23,2.553s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/button_Add to cart""))",Chrome 123.0.0.0,,,02-04-2024 14:34:20,02-04-2024 14:34:21,0.368s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/button_Add to cart_1""))",Chrome 123.0.0.0,,,02-04-2024 14:34:21,02-04-2024 14:34:21,0.562s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/button_Add to cart_1_2""))",Chrome 123.0.0.0,,,02-04-2024 14:34:21,02-04-2024 14:34:22,0.562s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/a_3""))",Chrome 123.0.0.0,,,02-04-2024 14:34:22,02-04-2024 14:34:22,0.481s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/button_Checkout""))",Chrome 123.0.0.0,,,02-04-2024 14:34:22,02-04-2024 14:34:23,0.477s,PASSED
,,,,,,,
Test Cases/Checkout,Chrome 123.0.0.0,,,02-04-2024 14:34:23,02-04-2024 14:34:26,3.586s,PASSED
"setText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Checkout Your Information_firstName""), ""Hola"")",Chrome 123.0.0.0,,,02-04-2024 14:34:23,02-04-2024 14:34:24,0.809s,PASSED
"setText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Checkout Your Information_lastName""), ""Ola"")",Chrome 123.0.0.0,,,02-04-2024 14:34:24,02-04-2024 14:34:24,0.815s,PASSED
"setText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Checkout Your Information_postalCode""), ""11470"")",Chrome 123.0.0.0,,,02-04-2024 14:34:24,02-04-2024 14:34:25,0.798s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Cancel_continue""))",Chrome 123.0.0.0,,,02-04-2024 14:34:25,02-04-2024 14:34:26,0.488s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/button_Finish""))",Chrome 123.0.0.0,,,02-04-2024 14:34:26,02-04-2024 14:34:26,0.578s,PASSED
,,,,,,,
Test Cases/Logout,Chrome 123.0.0.0,,,02-04-2024 14:34:26,02-04-2024 14:34:27,1.042s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/button_Open Menu""))",Chrome 123.0.0.0,,,02-04-2024 14:34:26,02-04-2024 14:34:27,0.426s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/a_Logout""))",Chrome 123.0.0.0,,,02-04-2024 14:34:27,02-04-2024 14:34:27,0.516s,PASSED
